ID_Pago,ID_Poliza,Fecha_Pago,Monto_Pago,Estado_Pago,Metodo_Pago
PAG-00105,POL-0014,2025-10-19,110.86,Completado,Efectivo
PAG-00106,POL-0015,2024-09-27,259.07,Completado,Efectivo
PAG-00107,POL-0015,2024-10-27,259.07,Completado,Tarjeta
PAG-00108,POL-0015,2024-11-26,259.07,Completado,Efectivo
PAG-00109,POL-0015,2024-12-26,259.07,Completado,Efectivo
PAG-00110,POL-0015,2025-01-25,259.07,Completado,Efectivo
PAG-00111,POL-0015,2025-02-24,259.07,Completado,Tarjeta
PAG-00112,POL-0015,2025-03-26,259.07,Completado,Tarjeta
PAG-00113,POL-0015,2025-04-25,259.07,Pendiente,Transferencia
PAG-00114,POL-0015,2025-05-25,259.07,Completado,Efectivo
PAG-00115,POL-0015,2025-06-24,259.07,Completado,Efectivo
PAG-00116,POL-0015,2025-07-24,259.07,Completado,Tarjeta
PAG-00117,POL-0015,2025-08-23,259.07,Completado,Tarjeta
PAG-00118,POL-0015,2025-09-22,259.07,Completado,Tarjeta
PAG-00119,POL-0016,2024-05-17,146.21,Completado,Transferencia
PAG-00120,POL-0016,2024-06-16,146.21,Completado,Efectivo
PAG-00121,POL-0016,2024-07-16,146.21,Completado,Transferencia
PAG-00122,POL-0016,2024-08-15,146.21,Completado,Transferencia
PAG-00123,POL-0016,2024-09-14,146.21,Completado,Transferencia
PAG-00124,POL-0016,2024-10-14,146.21,Completado,Tarjeta
PAG-00125,POL-0016,2024-11-13,146.21,Completado,Tarjeta
PAG-00126,POL-0016,2024-12-13,146.21,Completado,Efectivo
PAG-00127,POL-0016,2025-01-12,146.21,Completado,Efectivo
PAG-00128,POL-0016,2025-02-11,146.21,Completado,Efectivo
PAG-00129,POL-0016,2025-03-13,146.21,Completado,Tarjeta
PAG-00130,POL-0016,2025-04-12,146.21,Completado,Transferencia
PAG-00131,POL-0016,2025-05-12,146.21,Completado,Transferencia
PAG-00132,POL-0017,2024-05-23,68.26,Completado,Tarjeta
PAG-00133,POL-0017,2024-06-22,68.26,Completado,Transferencia
PAG-00134,POL-0017,2024-07-22,68.26,Completado,Efectivo
PAG-00135,POL-0017,2024-08-21,68.26,Completado,Transferencia
PAG-00136,POL-0017,2024-09-20,68.26,Pendiente,Tarjeta
PAG-00137,POL-0017,2024-10-20,68.26,Completado,Efectivo
PAG-00138,POL-0017,2024-11-19,68.26,Completado,Efectivo
PAG-00139,POL-0017,2024-12-19,68.26,Completado,Transferencia
PAG-00140,POL-0017,2025-01-18,68.26,Completado,Efectivo
PAG-00141,POL-0017,2025-02-17,68.26,Pendiente,Efectivo
PAG-00142,POL-0017,2025-03-19,68.26,Completado,Efectivo
PAG-00143,POL-0017,2025-04-18,68.26,Completado,Efectivo
PAG-00144,POL-0017,2025-05-18,68.26,Completado,Transferencia
PAG-00145,POL-0018,2023-10-28,93.43,Completado,Efectivo
PAG-00146,POL-0018,2023-11-27,93.43,Completado,Efectivo
PAG-00147,POL-0018,2023-12-27,93.43,Completado,Transferencia
PAG-00148,POL-0018,2024-01-26,93.43,Completado,Tarjeta
PAG-00149,POL-0018,2024-02-25,93.43,Completado,Transferencia
PAG-00150,POL-0018,2024-03-26,93.43,Completado,Efectivo
PAG-00151,POL-0018,2024-04-25,93.43,Completado,Tarjeta
PAG-00152,POL-0018,2024-05-25,93.43,Completado,Transferencia
PAG-00153,POL-0018,2024-06-24,93.43,Completado,Tarjeta
PAG-00154,POL-0018,2024-07-24,93.43,Completado,Tarjeta
PAG-00155,POL-0018,2024-08-23,93.43,Completado,Efectivo
PAG-00156,POL-0018,2024-09-22,93.43,Completado,Transferencia
PAG-00157,POL-0018,2024-10-22,93.43,Completado,Tarjeta
PAG-00158,POL-0019,2023-11-15,107.67,Completado,Efectivo
PAG-00159,POL-0019,2023-12-15,107.67,Completado,Efectivo
PAG-00160,POL-0019,2024-01-14,107.67,Completado,Transferencia
PAG-00161,POL-0019,2024-02-13,107.67,Completado,Tarjeta
PAG-00162,POL-0019,2024-03-14,107.67,Pendiente,Transferencia
PAG-00163,POL-0019,2024-04-13,107.67,Completado,Tarjeta
PAG-00164,POL-0019,2024-05-13,107.67,Completado,Tarjeta
PAG-00165,POL-0019,2024-06-12,107.67,Completado,Transferencia
PAG-00166,POL-0019,2024-07-12,107.67,Completado,Tarjeta
PAG-00167,POL-0019,2024-08-11,107.67,Pendiente,Transferencia
PAG-00168,POL-0019,2024-09-10,107.67,Completado,Efectivo
PAG-00169,POL-0019,2024-10-10,107.67,Completado,Transferencia
PAG-00170,POL-0019,2024-11-09,107.67,Pendiente,Tarjeta
PAG-00171,POL-0020,2024-10-19,121.9,Completado,Transferencia
PAG-00172,POL-0020,2024-11-18,121.9,Completado,Efectivo
PAG-00173,POL-0020,2024-12-18,121.9,Completado,Efectivo
PAG-00174,POL-0020,2025-01-17,121.9,Completado,Tarjeta
PAG-00175,POL-0020,2025-02-16,121.9,Completado,Tarjeta
PAG-00176,POL-0020,2025-03-18,121.9,Completado,Efectivo
PAG-00177,POL-0020,2025-04-17,121.9,Completado,Efectivo
PAG-00178,POL-0020,2025-05-17,121.9,Pendiente,Transferencia
PAG-00179,POL-0020,2025-06-16,121.9,Completado,Tarjeta
PAG-00180,POL-0020,2025-07-16,121.9,Completado,Transferencia
PAG-00181,POL-0020,2025-08-15,121.9,Completado,Efectivo
PAG-00182,POL-0020,2025-09-14,121.9,Completado,Efectivo
PAG-00183,POL-0020,2025-10-14,121.9,Completado,Efectivo
PAG-00184,POL-0021,2024-05-31,103.37,Completado,Efectivo
PAG-00185,POL-0021,2024-06-30,103.37,Completado,Efectivo
PAG-00186,POL-0021,2024-07-30,103.37,Completado,Tarjeta
PAG-00187,POL-0021,2024-08-29,103.37,Completado,Tarjeta
PAG-00188,POL-0021,2024-09-28,103.37,Completado,Transferencia
PAG-00189,POL-0021,2024-10-28,103.37,Completado,Transferencia
PAG-00190,POL-0021,2024-11-27,103.37,Completado,Transferencia
PAG-00191,POL-0021,2024-12-27,103.37,Completado,Efectivo
PAG-00192,POL-0021,2025-01-26,103.37,Completado,Efectivo
PAG-00193,POL-0021,2025-02-25,103.37,Completado,Transferencia
PAG-00194,POL-0021,2025-03-27,103.37,Completado,Transferencia
PAG-00195,POL-0021,2025-04-26,103.37,Completado,Tarjeta
PAG-00196,POL-0021,2025-05-26,103.37,Completado,Efectivo
PAG-00197,POL-0022,2024-09-26,157.77,Pendiente,Tarjeta
PAG-00198,POL-0022,2024-10-26,157.77,Completado,Efectivo
PAG-00199,POL-0022,2024-11-25,157.77,Pendiente,Efectivo
PAG-00200,POL-0022,2024-12-25,157.77,Completado,Transferencia
PAG-00201,POL-0022,2025-01-24,157.77,Completado,Tarjeta
PAG-00202,POL-0022,2025-02-23,157.77,Completado,Tarjeta
PAG-00203,POL-0022,2025-03-25,157.77,Completado,Tarjeta
PAG-00204,POL-0022,2025-04-24,157.77,Completado,Efectivo
PAG-00205,POL-0022,2025-05-24,157.77,Completado,Tarjeta
PAG-00206,POL-0022,2025-06-23,157.77,Completado,Efectivo
PAG-00207,POL-0022,2025-07-23,157.77,Completado,Efectivo
PAG-00208,POL-0022,2025-08-22,157.77,Completado,Tarjeta
PAG-00209,POL-0022,2025-09-21,157.77,Completado,Transferencia
PAG-00210,POL-0024,2024-03-13,289.18,Completado,Transferencia
PAG-00211,POL-0024,2024-04-12,289.18,Completado,Tarjeta
PAG-00212,POL-0024,2024-05-12,289.18,Completado,Tarjeta
PAG-00213,POL-0024,2024-06-11,289.18,Completado,Efectivo
PAG-00214,POL-0024,2024-07-11,289.18,Completado,Tarjeta
PAG-00215,POL-0024,2024-08-10,289.18,Completado,Tarjeta
PAG-00216,POL-0024,2024-09-09,289.18,Completado,Efectivo
PAG-00217,POL-0024,2024-10-09,289.18,Completado,Efectivo
PAG-00218,POL-0024,2024-11-08,289.18,Completado,Tarjeta
PAG-00219,POL-0024,2024-12-08,289.18,Completado,Tarjeta
PAG-00220,POL-0024,2025-01-07,289.18,Completado,Transferencia
PAG-00221,POL-0024,2025-02-06,289.18,Completado,Efectivo
PAG-00222,POL-0024,2025-03-08,289.18,Completado,Efectivo
PAG-00223,POL-0025,2024-03-05,119.96,Completado,Efectivo
PAG-00224,POL-0025,2024-04-04,119.96,Completado,Tarjeta
PAG-00225,POL-0025,2024-05-04,119.96,Completado,Efectivo
PAG-00226,POL-0025,2024-06-03,119.96,Completado,Efectivo
PAG-00227,POL-0025,2024-07-03,119.96,Completado,Tarjeta
PAG-00228,POL-0025,2024-08-02,119.96,Completado,Transferencia
PAG-00229,POL-0025,2024-09-01,119.96,Completado,Efectivo
PAG-00230,POL-0025,2024-10-01,119.96,Pendiente,Efectivo
PAG-00231,POL-0025,2024-10-31,119.96,Completado,Efectivo
PAG-00232,POL-0025,2024-11-30,119.96,Pendiente,Transferencia
PAG-00233,POL-0025,2024-12-30,119.96,Completado,Tarjeta
PAG-00234,POL-0025,2025-01-29,119.96,Completado,Tarjeta
PAG-00235,POL-0025,2025-02-28,119.96,Completado,Tarjeta
PAG-00236,POL-0026,2024-12-28,143.48,Completado,Efectivo
PAG-00237,POL-0026,2025-01-27,143.48,Completado,Tarjeta
PAG-00238,POL-0026,2025-02-26,143.48,Pendiente,Efectivo
PAG-00239,POL-0026,2025-03-28,143.48,Completado,Transferencia
PAG-00240,POL-0026,2025-04-27,143.48,Pendiente,Transferencia
PAG-00241,POL-0026,2025-05-27,143.48,Completado,Efectivo
PAG-00242,POL-0026,2025-06-26,143.48,Completado,Tarjeta
PAG-00243,POL-0026,2025-07-26,143.48,Completado,Transferencia
PAG-00244,POL-0026,2025-08-25,143.48,Completado,Tarjeta
PAG-00245,POL-0026,2025-09-24,143.48,Completado,Efectivo
PAG-00246,POL-0027,2025-01-30,40.32,Completado,Transferencia
PAG-00247,POL-0027,2025-03-01,40.32,Completado,Tarjeta
PAG-00248,POL-0027,2025-03-31,40.32,Completado,Efectivo
PAG-00249,POL-0027,2025-04-30,40.32,Completado,Tarjeta
PAG-00250,POL-0027,2025-05-30,40.32,Completado,Efectivo
PAG-00251,POL-0027,2025-06-29,40.32,Completado,Transferencia
PAG-00252,POL-0027,2025-07-29,40.32,Completado,Tarjeta
PAG-00253,POL-0027,2025-08-28,40.32,Completado,Transferencia
PAG-00254,POL-0027,2025-09-27,40.32,Completado,Efectivo
PAG-00255,POL-0028,2025-10-11,256.61,Completado,Tarjeta
PAG-00256,POL-0030,2024-08-02,25.93,Completado,Tarjeta
PAG-00257,POL-0030,2024-09-01,25.93,Completado,Tarjeta
PAG-00258,POL-0030,2024-10-01,25.93,Completado,Efectivo
PAG-00259,POL-0030,2024-10-31,25.93,Completado,Transferencia
PAG-00260,POL-0030,2024-11-30,25.93,Completado,Tarjeta
PAG-00261,POL-0030,2024-12-30,25.93,Completado,Tarjeta
PAG-00262,POL-0030,2025-01-29,25.93,Completado,Transferencia
PAG-00263,POL-0030,2025-02-28,25.93,Completado,Efectivo
PAG-00264,POL-0030,2025-03-30,25.93,Completado,Efectivo
PAG-00265,POL-0030,2025-04-29,25.93,Completado,Tarjeta
PAG-00266,POL-0030,2025-05-29,25.93,Completado,Tarjeta
PAG-00267,POL-0030,2025-06-28,25.93,Completado,Efectivo
PAG-00268,POL-0030,2025-07-28,25.93,Completado,Tarjeta
PAG-00269,POL-0032,2024-04-02,129.17,Completado,Tarjeta
PAG-00270,POL-0032,2024-05-02,129.17,Completado,Efectivo
PAG-00271,POL-0032,2024-06-01,129.17,Completado,Tarjeta
PAG-00272,POL-0032,2024-07-01,129.17,Completado,Transferencia
PAG-00273,POL-0032,2024-07-31,129.17,Pendiente,Efectivo
PAG-00274,POL-0032,2024-08-30,129.17,Completado,Tarjeta
PAG-00275,POL-0032,2024-09-29,129.17,Completado,Efectivo
PAG-00276,POL-0032,2024-10-29,129.17,Completado,Tarjeta
PAG-00277,POL-0032,2024-11-28,129.17,Completado,Efectivo
PAG-00278,POL-0032,2024-12-28,129.17,Completado,Transferencia
PAG-00279,POL-0032,2025-01-27,129.17,Completado,Transferencia
PAG-00280,POL-0032,2025-02-26,129.17,Completado,Efectivo
PAG-00281,POL-0032,2025-03-28,129.17,Completado,Tarjeta
PAG-00282,POL-0033,2025-03-05,76.65,Completado,Tarjeta
PAG-00283,POL-0033,2025-04-04,76.65,Completado,Efectivo
PAG-00284,POL-0033,2025-05-04,76.65,Completado,Efectivo
PAG-00285,POL-0033,2025-06-03,76.65,Completado,Transferencia
PAG-00286,POL-0033,2025-07-03,76.65,Completado,Transferencia
PAG-00287,POL-0033,2025-08-02,76.65,Completado,Tarjeta
PAG-00288,POL-0033,2025-09-01,76.65,Completado,Transferencia
PAG-00289,POL-0033,2025-10-01,76.65,Completado,Transferencia
PAG-00290,POL-0034,2024-01-27,28.41,Completado,Efectivo
PAG-00291,POL-0034,2024-02-26,28.41,Completado,Transferencia
PAG-00292,POL-0034,2024-03-27,28.41,Completado,Tarjeta
PAG-00293,POL-0034,2024-04-26,28.41,Pendiente,Transferencia
PAG-00294,POL-0034,2024-05-26,28.41,Completado,Tarjeta
PAG-00295,POL-0034,2024-06-25,28.41,Completado,Transferencia
PAG-00296,POL-0034,2024-07-25,28.41,Completado,Efectivo
PAG-00297,POL-0034,2024-08-24,28.41,Completado,Transferencia
PAG-00298,POL-0034,2024-09-23,28.41,Completado,Transferencia
PAG-00299,POL-0034,2024-10-23,28.41,Completado,Efectivo
PAG-00300,POL-0034,2024-11-22,28.41,Pendiente,Efectivo
PAG-00301,POL-0034,2024-12-22,28.41,Completado,Transferencia
PAG-00302,POL-0034,2025-01-21,28.41,Pendiente,Tarjeta
PAG-00303,POL-0035,2024-08-16,270.49,Completado,Transferencia
PAG-00304,POL-0035,2024-09-15,270.49,Completado,Efectivo
PAG-00305,POL-0035,2024-10-15,270.49,Completado,Efectivo
PAG-00306,POL-0035,2024-11-14,270.49,Completado,Tarjeta
PAG-00307,POL-0035,2024-12-14,270.49,Pendiente,Transferencia
PAG-00308,POL-0035,2025-01-13,270.49,Pendiente,Efectivo
PAG-00309,POL-0035,2025-02-12,270.49,Completado,Efectivo
PAG-00310,POL-0035,2025-03-14,270.49,Pendiente,Transferencia
PAG-00311,POL-0035,2025-04-13,270.49,Completado,Tarjeta
PAG-00312,POL-0035,2025-05-13,270.49,Pendiente,Transferencia
PAG-00313,POL-0035,2025-06-12,270.49,Completado,Transferencia
PAG-00314,POL-0035,2025-07-12,270.49,Completado,Transferencia
PAG-00315,POL-0035,2025-08-11,270.49,Completado,Efectivo
PAG-00316,POL-0037,2025-10-04,251.61,Completado,Tarjeta
PAG-00317,POL-0038,2025-01-31,267.64,Completado,Efectivo
PAG-00318,POL-0038,2025-03-02,267.64,Completado,Transferencia
PAG-00319,POL-0038,2025-04-01,267.64,Completado,Efectivo
PAG-00320,POL-0038,2025-05-01,267.64,Completado,Efectivo
PAG-00321,POL-0038,2025-05-31,267.64,Pendiente,Efectivo
PAG-00322,POL-0038,2025-06-30,267.64,Completado,Transferencia
PAG-00323,POL-0038,2025-07-30,267.64,Completado,Efectivo
PAG-00324,POL-0038,2025-08-29,267.64,Completado,Tarjeta
PAG-00325,POL-0038,2025-09-28,267.64,Completado,Transferencia
PAG-00326,POL-0040,2025-03-04,187.36,Completado,Transferencia
PAG-00327,POL-0040,2025-04-03,187.36,Completado,Efectivo
PAG-00328,POL-0040,2025-05-03,187.36,Completado,Tarjeta
PAG-00329,POL-0040,2025-06-02,187.36,Completado,Tarjeta
PAG-00330,POL-0040,2025-07-02,187.36,Completado,Efectivo
PAG-00331,POL-0040,2025-08-01,187.36,Completado,Efectivo
PAG-00332,POL-0040,2025-08-31,187.36,Completado,Transferencia
PAG-00333,POL-0040,2025-09-30,187.36,Completado,Efectivo
PAG-00334,POL-0041,2025-06-20,241.16,Completado,Efectivo
PAG-00335,POL-0041,2025-07-20,241.16,Completado,Efectivo
PAG-00336,POL-0041,2025-08-19,241.16,Completado,Tarjeta
PAG-00337,POL-0041,2025-09-18,241.16,Completado,Efectivo
PAG-00338,POL-0041,2025-10-18,241.16,Completado,Efectivo
PAG-00339,POL-0042,2024-06-23,163.46,Completado,Transferencia
PAG-00340,POL-0042,2024-07-23,163.46,Completado,Efectivo
PAG-00341,POL-0042,2024-08-22,163.46,Completado,Efectivo
PAG-00342,POL-0042,2024-09-21,163.46,Completado,Transferencia
PAG-00343,POL-0042,2024-10-21,163.46,Completado,Transferencia
PAG-00344,POL-0042,2024-11-20,163.46,Completado,Transferencia
PAG-00345,POL-0042,2024-12-20,163.46,Completado,Efectivo
PAG-00346,POL-0042,2025-01-19,163.46,Completado,Efectivo
PAG-00347,POL-0042,2025-02-18,163.46,Pendiente,Transferencia
PAG-00348,POL-0042,2025-03-20,163.46,Pendiente,Efectivo
PAG-00349,POL-0042,2025-04-19,163.46,Completado,Efectivo
PAG-00350,POL-0042,2025-05-19,163.46,Completado,Tarjeta
PAG-00351,POL-0042,2025-06-18,163.46,Pendiente,Transferencia
PAG-00352,POL-0043,2025-10-01,108.15,Completado,Efectivo
PAG-00353,POL-0044,2024-10-14,256.8,Completado,Tarjeta
PAG-00354,POL-0044,2024-11-13,256.8,Completado,Transferencia
PAG-00355,POL-0044,2024-12-13,256.8,Completado,Tarjeta
PAG-00356,POL-0044,2025-01-12,256.8,Completado,Transferencia
PAG-00357,POL-0044,2025-02-11,256.8,Pendiente,Efectivo
PAG-00358,POL-0044,2025-03-13,256.8,Completado,Transferencia
PAG-00359,POL-0044,2025-04-12,256.8,Completado,Transferencia
PAG-00360,POL-0044,2025-05-12,256.8,Completado,Efectivo
PAG-00361,POL-0044,2025-06-11,256.8,Completado,Efectivo
PAG-00362,POL-0044,2025-07-11,256.8,Completado,Efectivo
PAG-00363,POL-0044,2025-08-10,256.8,Completado,Efectivo
PAG-00364,POL-0044,2025-09-09,256.8,Pendiente,Tarjeta
PAG-00365,POL-0044,2025-10-09,256.8,Completado,Transferencia
PAG-00366,POL-0047,2024-02-21,186.56,Completado,Efectivo
PAG-00367,POL-0047,2024-03-22,186.56,Completado,Transferencia
PAG-00368,POL-0047,2024-04-21,186.56,Pendiente,Tarjeta
PAG-00369,POL-0047,2024-05-21,186.56,Pendiente,Tarjeta
PAG-00370,POL-0047,2024-06-20,186.56,Completado,Efectivo
PAG-00371,POL-0047,2024-07-20,186.56,Completado,Tarjeta
PAG-00372,POL-0047,2024-08-19,186.56,Completado,Tarjeta
PAG-00373,POL-0047,2024-09-18,186.56,Completado,Tarjeta
PAG-00374,POL-0047,2024-10-18,186.56,Completado,Efectivo
PAG-00375,POL-0047,2024-11-17,186.56,Completado,Tarjeta
PAG-00376,POL-0047,2024-12-17,186.56,Completado,Transferencia
PAG-00377,POL-0047,2025-01-16,186.56,Completado,Efectivo
PAG-00378,POL-0047,2025-02-15,186.56,Completado,Transferencia
PAG-00379,POL-0048,2025-09-22,225.06,Completado,Tarjeta
PAG-00380,POL-0048,2025-10-22,225.06,Completado,Efectivo
PAG-00381,POL-0049,2025-08-23,138.73,Completado,Tarjeta
PAG-00382,POL-0049,2025-09-22,138.73,Completado,Tarjeta
PAG-00383,POL-0049,2025-10-22,138.73,Completado,Efectivo
PAG-00384,POL-0052,2025-03-11,284.38,Completado,Transferencia
PAG-00385,POL-0052,2025-04-10,284.38,Completado,Efectivo
PAG-00386,POL-0052,2025-05-10,284.38,Completado,Efectivo
PAG-00387,POL-0052,2025-06-09,284.38,Completado,Transferencia
PAG-00388,POL-0052,2025-07-09,284.38,Completado,Efectivo
PAG-00389,POL-0052,2025-08-08,284.38,Completado,Tarjeta
PAG-00390,POL-0052,2025-09-07,284.38,Completado,Tarjeta
PAG-00391,POL-0052,2025-10-07,284.38,Pendiente,Efectivo
PAG-00392,POL-0054,2025-05-09,240.57,Completado,Transferencia
PAG-00393,POL-0054,2025-06-08,240.57,Completado,Transferencia
PAG-00394,POL-0054,2025-07-08,240.57,Completado,Transferencia
PAG-00395,POL-0054,2025-08-07,240.57,Completado,Transferencia
PAG-00396,POL-0054,2025-09-06,240.57,Completado,Tarjeta
PAG-00397,POL-0054,2025-10-06,240.57,Completado,Tarjeta
PAG-00398,POL-0055,2025-10-02,90.08,Pendiente,Transferencia
PAG-00399,POL-0056,2025-05-25,288.25,Pendiente,Efectivo
PAG-00400,POL-0056,2025-06-24,288.25,Completado,Efectivo
PAG-00401,POL-0056,2025-07-24,288.25,Completado,Transferencia
PAG-00402,POL-0056,2025-08-23,288.25,Completado,Tarjeta
